start,end,phase,task
2022-10-17,2023-04-17,Data Exploration,Data Collection
2022-10-17,2022-12-26,Data Exploration,Literature Review
2022-10-17,2022-11-07,Data Exploration,Exploratory Machine Learning
2022-11-08,2022-12-26,Data Exploration,Machine Learning on Chosen Dataset
2022-12-26,2023-04-17,Statistical Study,Literature Review
2022-12-26,2023-01-26,Statistical Study,Exploratory Statistical Testing
2023-01-26,2023-03-26,Statistical Study,Statistical Testing
2023-03-27,2023-05-15,Statistical Study,Model Fitting
2023-05-15,2023-06-27,Extrapolation,Signal Processing
2023-06-27,2023-07-27,Extrapolation,Machine Learning on Processed Data
2023-07-27,2023-10-14,Thesis Writing,Thesis Writing