Burst No., BPT (MJD), TOA (day), WT (s), Center frequency (MHz), Bandwidth (MHz), S (Jy), σS, F (Jyms), σF, w (ms), σw
1,56233.28284,,,1375,322,0.04,0.008,0.1,0.012,3.3,0.3
2,57159.7376,926.4548,572.2085,1375,322,0.03,0.006,0.1,0.012,3.8,0.4
3,57159.74422,926.4614,,1375,322,0.03,0.006,0.1,0.012,3.3,0.4
4,57175.69314,942.4103,568.9089,1375,322,0.04,0.008,0.2,0.012,4.6,0.3
5,57175.69973,942.4169,,1375,322,0.02,0.004,0.09,0.03,8.7,1.5
6,57175.74258,942.4597,22.6919,1375,322,0.02,0.004,0.06,0.008,2.8,0.4
7,57175.74284,942.46,57.9782,1375,322,0.02,0.004,0.06,0.028,6.1,1.4
8,57175.74351,942.4607,186.2304,1375,322,0.14,0.028,0.9,0.014,6.6,0.1
9,57175.74567,942.4628,169.2592,1375,322,0.05,0.01,0.3,0.015,6,0.3
10,57175.74762,942.4648,57.2326,1375,322,0.05,0.01,0.2,0.025,8,0.5
11,57175.74829,942.4655,,1375,322,0.31,0.062,1,0.012,3.06,0.04
12,57339.35605,1106.0732,,2000,800,0.04,,0.2,0.045,6.73,1.12
13,57345.44769,1112.1649,414.4327,2000,800,0.06,,0.4,0.034,6.1,0.57
14,57345.45249,1112.1697,441.2775,2000,800,0.04,,0.2,0.04,6.14,1
15,57345.4576,1112.1748,416.2582,2000,800,0.02,,0.08,0.028,4.3,1.4
16,57345.46241,1112.1796,,2000,800,0.09,,0.6,0.032,5.97,0.35
17,57364.20463,1130.9218,,1430,700,0.03,0.006,0.09,0.007,2.5,0.23
18,57620.39222,1387.1094,160.3673,4850,,0.3,0.04,0.15,0.05,0.5,0.1
19,57620.39407,1387.1112,480.0102,4850,,0.2,0.04,0.12,0.044,0.6,0.1
20,57620.39963,1387.1168,,4850,,0.1,0.02,0.17,0.064,1.7,0.3
21,57623.74403,1390.4612,,3000,512,0.12,,0.6,,5,
22,57633.67986,1400.397,1321.5493,3000,500,0.67,,3.35,,5,
23,57633.69516,1400.4123,,3000,500,0.025,,0.13,,5,
24,57638.49937,1405.2165,,3000,500,0.063,,0.32,,5,
25,57643.4573,1410.1745,,3000,500,0.326,,1.63,,5,
26,57645.42959,1412.1467,,3000,500,0.039,,0.2,,5,
27,57646.46601,1413.1832,,3000,500,0.05,,0.25,,5,
28,57647.23235,1413.9495,0.0374,2000,800,0.36,,0.32,0.022,2.16,0.06
29,57647.23235,1413.9495,,2000,800,0.08,,0.16,0.02,1.94,0.25
30,57648.43691,1415.1541,,3000,500,0.086,0.014,0.43,,5,
31,57649.17381,1415.891,3836.1884,2000,800,0.36,,1.32,0.025,3.45,0.07
32,57649.21821,1415.9354,,2000,800,0.29,,0.34,0.02,0.88,0.07
33,57649.45176,1416.1689,,3000,500,0.159,0.006,0.8,,5,
34,57747.12956,1513.8467,658.5214,4500,800,0.9,0.18,0.7,0.14,0.8,0.01
35,57747.13719,1513.8543,784.8879,4500,800,0.3,0.06,0.2,0.04,0.85,0.01
36,57747.14627,1513.8634,458.1716,4500,800,0.8,0.16,0.2,0.04,0.22,0.01
37,57747.15157,1513.8687,250.0029,4500,800,0.2,0.04,0.09,0.018,0.55,0.01
38,57747.15447,1513.8716,503.0038,4500,800,0.2,0.04,0.1,0.02,0.76,0.01
39,57747.16029,1513.8775,4.7001,4500,800,1.8,0.36,0.05,0.01,0.03,0.01
40,57747.16034,1513.8775,473.8184,4500,800,0.6,0.12,0.2,0.04,0.31,0.01
41,57747.16583,1513.883,47.2859,4500,800,0.4,0.08,0.5,0.1,1.36,0.01
42,57747.16637,1513.8835,828.7868,4500,800,0.2,0.04,0.3,0.06,1.92,0.01
43,57747.17597,1513.8931,,4500,800,0.2,0.04,0.2,0.04,0.98,0.01
44,57748.12564,1514.8428,2408.9006,4500,800,0.1,0.02,0.1,0.02,0.95,0.01
45,57748.15352,1514.8707,146.0587,4500,800,0.4,0.08,0.2,0.04,0.42,0.01
46,57748.15521,1514.8724,206.7319,4500,800,0.8,0.16,0.6,0.12,0.78,0.01
47,57748.15761,1514.8748,1562.904,4500,800,1.2,0.24,0.2,0.04,0.15,0.01
48,57748.1757,1514.8929,,4500,800,0.4,0.08,0.4,0.08,0.54,0.01
49,57765.04953,1531.7667,1319.0573,2000,800,0.17,,0.33,0.015,1.4,0.09
50,57765.06479,1531.782,367.5706,2000,800,0.38,,0.83,0.015,1.79,0.04
51,57765.06905,1531.7862,2745.822,2000,800,0.2,,0.62,0.024,2.97,0.12
52,57765.10083,1531.818,0.0008,1380,800,0.09,0.018,0.37,0.01,4.29,0.11
53,57765.10083,1531.818,678.4977,2000,800,0.09,,0.18,0.025,2.46,0.28
54,57765.10868,1531.8258,1045.2119,1380,800,0.02,0.004,0.03,0.002,3.69,0.11
55,57765.12078,1531.8379,0.0002,1380,800,0.02,0.004,0.05,0.009,4.34,0.44
56,57765.12078,1531.8379,1358.2429,2000,800,0.56,,1.08,0.017,1.36,0.03
57,57765.1365,1531.8537,590.8832,2000,800,0.11,,0.22,0.019,1.68,0.17
58,57765.14334,1531.8605,1380,800,0.03,0.006,,0.1,0.01,3.66,0.32
59,57769.68811,1536.4053,1225.766,1360,300,0.7,0.1,2.6,0.4,3.56,0.09
60,57769.7023,1536.4195,5328.0127,1360,300,0.17,0.03,0.6,0.1,3.4,0.4
61,57769.76397,1536.4811,,1360,300,0.8,0.1,1.7,0.3,2.05,0.06
62,57772.12903,1538.8462,,4500,800,0.8,0.16,0.6,0.12,0.74,0.01
63,57772.66498,1539.3821,1990.5243,1360,300,0.36,0.05,0.7,0.1,2.1,0.1
64,57772.68801,1539.4052,6089.6034,1360,300,0.11,0.02,0.35,0.09,3.2,0.7
65,57772.7585,1539.4757,337.0257,1360,300,0.25,0.04,1.3,0.2,5.1,0.3
66,57772.7624,1539.4796,1928.7907,1360,300,0.22,0.03,0.4,0.07,1.8,0.2
67,57772.78472,1539.5019,,1360,300,0.21,0.03,0.4,0.09,1.9,0.3
68,57778.6885,1545.4057,5855.1556,1360,300,0.39,0.06,1,0.2,2.6,0.1
69,57778.75627,1545.4734,0.0341,1360,300,0.11,0.02,0.23,0.06,2.1,0.4
70,57778.75627,1545.4734,3708.5134,1360,300,0.18,0.03,0.5,0.1,2.9,0.3
71,57778.79919,1545.5164,,1360,300,0.21,0.03,0.38,0.07,1.8,0.2
72,57799.98318,1566.7003,,1380,800,1.4,0.28,8.022,1.604,5.73,
73,57803.69292,1570.4101,,1360,300,0.21,0.03,0.7,0.1,3.5,0.3
74,57806.96425,1573.6814,1769.3225,1380,800,1.6,0.32,3.936,0.787,2.46,
75,57806.98473,1573.7019,,1380,800,1.5,0.3,5.535,1.107,3.69,
76,57808.00279,1574.7199,,1380,800,0.79,0.158,2.915,0.583,3.69,
77,57814.94699,1581.6641,,1380,800,0.47,0.094,0.541,0.108,1.15,
78,57991.4099,1758.1276,2.2185,7020,3900,0.7635,0.0105,0.6061,0.0212,1.43,
79,57991.40993,1758.1271,7.9579,7050,2300,0.0348,0.0081,0.0256,0.0201,2.15,
80,57991.41002,1758.1272,4.1287,7020,2400,0.0539,0.0083,0.0505,0.0168,1.43,
81,57991.41007,1758.1272,128.6319,6170,2500,0.0541,0.0084,0.0906,0.0225,2.51,
82,57991.41156,1758.1287,45.5501,5560,2500,0.0457,0.0084,0.053,0.019,1.79,
83,57991.41209,1758.1292,19.5705,5470,1400,0.0318,0.0064,0.0435,0.0144,1.79,
84,57991.41231,1758.1295,39.1048,7020,2400,0.0449,0.0083,0.0264,0.0146,1.08,
85,57991.41276,1758.1299,0.0143,5550,3900,0.0972,0.0105,0.0664,0.0212,1.43,
86,57991.41276,1758.1299,13.9614,5450,2900,0.0569,0.0091,0.0673,0.0206,1.79,
87,57991.41293,1758.1301,8.0693,5440,2000,0.0719,0.0092,0.1461,0.0294,3.58,
88,57991.41302,1758.1302,29.6054,7030,1800,0.138,0.0072,0.0566,0.0103,0.72,
89,57991.41336,1758.1305,8.3149,7030,1800,0.0448,0.0072,0.0468,0.0146,1.43,
90,57991.41346,1758.1306,21.4177,7060,4000,0.4521,0.0106,0.3632,0.0186,1.08,
91,57991.41371,1758.1309,11.2669,7110,4000,0.3421,0.0106,0.2628,0.0185,1.08,
92,57991.41384,1758.131,198.3099,7030,4000,0.3182,0.0106,0.2646,0.0215,1.43,
93,57991.41613,1758.1332,4.5723,7010,2900,0.0328,0.0091,0.0353,0.0207,1.79,
94,57991.41619,1758.1333,1.9554,7020,2400,0.0375,0.0083,0.0462,0.0188,1.79,
95,57991.41621,1758.1334,19.7797,5720,2000,0.0384,0.0075,0.0229,0.0132,1.08,
96,57991.41644,1758.1336,16.9835,5470,3900,0.0689,0.0106,0.0362,0.0185,1.08,
97,57991.41663,1758.1338,54.9513,7020,3900,0.5637,0.0105,0.3492,0.0184,1.08,
98,57991.41727,1758.1344,9.622,5800,2500,0.0732,0.0084,0.0526,0.0148,1.08,
99,57991.41738,1758.1345,28.8562,6450,1900,0.0723,0.0074,0.0295,0.0106,0.72,
100,57991.41771,1758.1349,13.0318,5750,2500,0.0542,0.0084,0.0352,0.0147,1.08,
101,57991.41787,1758.135,65.8063,6410,3900,0.136,0.0105,0.0811,0.0184,1.08,
102,57991.41863,1758.1358,34.6894,7610,3900,0.1288,0.0105,0.0978,0.0213,1.43,
103,57991.41903,1758.1362,36.3906,5750,2000,0.0541,0.0075,0.0401,0.0151,1.43,
104,57991.41945,1758.1366,0.0052,5750,1700,0.0508,0.0069,0.0446,0.0139,1.43,
105,57991.41945,1758.1366,0.0019,7110,1000,0.04,0.0054,0.0213,0.0095,1.08,
106,57991.41945,1758.1366,1.0948,6220,2600,0.0496,0.0068,0.0362,0.012,1.08,
107,57991.41946,1758.1366,0.0193,5720,2000,0.039,0.0075,0.0256,0.017,1.79,
108,57991.41946,1758.1366,121.3916,6230,1900,0.0293,0.0074,0.0295,0.015,1.43,
109,57991.42087,1758.138,29.8121,7110,1300,0.0391,0.0061,0.0286,0.0123,1.43,
110,57991.42121,1758.1384,43.1795,7110,4000,0.1268,0.0106,0.0607,0.0151,0.72,
111,57991.42171,1758.1389,35.3103,5670,3900,0.1858,0.0106,0.0785,0.0151,0.72,
112,57991.42212,1758.1393,1.3489,5720,2000,0.064,0.0075,0.0682,0.017,1.79,
113,57991.42214,1758.1393,69.3354,6900,2400,0.0557,0.0082,0.0397,0.0187,1.79,
114,57991.42294,1758.1401,5.6751,6200,3900,0.2147,0.0105,0.1312,0.0238,1.79,
115,57991.42301,1758.1402,109.3405,5770,4000,0.0355,0.0106,0.0263,0.0263,2.15,
116,57991.42427,1758.1414,23.1794,6230,1900,0.0456,0.0074,0.053,0.0168,1.79,
117,57991.42454,1758.1417,119.2321,5250,900,0.0312,0.0051,0.0174,0.009,1.08,
118,57991.42592,1758.1431,41.0301,5750,900,0.0245,0.0051,0.0287,0.0127,2.15,
119,57991.42639,1758.1436,13.7109,6170,1900,0.0561,0.0074,0.0675,0.0183,2.15,
120,57991.42655,1758.1437,158.9548,6170,3900,0.3922,0.0105,0.1565,0.0151,0.72,
121,57991.42839,1758.1456,17.303,7140,2400,0.0574,0.0082,0.0746,0.022,2.51,
122,57991.42859,1758.1458,158.5758,4780,3900,0.063,0.0105,0.0362,0.0184,1.08,
123,57991.43043,1758.1476,57.7644,5670,3900,0.0704,0.0106,0.051,0.0185,1.08,
124,57991.4311,1758.1483,49.7042,6160,1400,0.0271,0.0064,0.0574,0.0193,3.23,
125,57991.43167,1758.1488,26.1148,6080,2000,0.0424,0.0075,0.0412,0.0169,1.79,
126,57991.43197,1758.1491,26.0491,5660,3900,0.2084,0.0105,0.1629,0.0185,1.08,
127,57991.43228,1758.1494,221.1596,5520,2000,0.058,0.0075,0.048,0.0151,1.43,
128,57991.43484,1758.152,31.3033,5730,1900,0.0288,0.0074,0.0243,0.0167,1.79,
129,57991.4352,1758.1524,117.4965,7090,1900,0.0614,0.0073,0.0561,0.0149,1.43,
130,57991.43656,1758.1537,111.6369,7120,1900,0.0715,0.0073,0.0564,0.0128,1.08,
131,57991.43785,1758.155,55.2223,6910,2300,0.041,0.0082,0.0244,0.0144,1.08,
132,57991.43849,1758.1557,75.3406,5520,1500,0.042,0.0064,0.0224,0.0113,1.08,
133,57991.43936,1758.1565,591.9158,7110,4000,0.2362,0.0106,0.2342,0.0239,1.79,
134,57991.44621,1758.1634,67.1154,6160,1400,0.0387,0.0064,0.018,0.0091,0.72,
135,57991.44699,1758.1642,81.2813,6440,1500,0.0395,0.0065,0.0131,0.0093,0.72,
136,57991.44793,1758.1651,10.257,5580,2900,0.0334,0.0091,0.0523,0.0244,2.51,
137,57991.44805,1758.1652,32.8169,4970,900,0.0179,0.0051,0.0258,0.0128,2.15,
138,57991.44843,1758.1656,151.819,5580,3900,0.21,0.0105,0.1375,0.0184,1.08,
139,57991.45018,1758.1673,24.4345,5390,1400,0.0463,0.0063,0.0197,0.009,0.72,
140,57991.45047,1758.1676,222.2426,7470,2300,0.0405,0.0081,0.0343,0.0164,1.43,
141,57991.45304,1758.1702,472.8758,4780,2400,0.0843,0.0083,0.0672,0.0168,1.43,
142,57991.45851,1758.1757,203.4843,5530,1400,0.029,0.0064,0.0218,0.0144,1.79,
143,57991.46087,1758.178,245.9356,7530,1400,0.054,0.0063,0.0272,0.011,1.08,
144,57991.46371,1758.1809,19.412,6750,1900,0.0731,0.0074,0.0471,0.013,1.08,
145,57991.46394,1758.1811,0.0024,5480,3000,0.0573,0.0092,0.0367,0.0161,1.08,
146,57991.46394,1758.1811,539.7461,5480,2000,0.0388,0.0075,0.0439,0.0152,1.43,
147,57991.47019,1758.1873,82.9205,6220,1400,0.0452,0.0064,0.0205,0.0091,0.72,
148,57991.47115,1758.1883,149.1976,6620,1500,0.0308,0.0065,0.0272,0.0161,2.15,
149,57991.47287,1758.19,618.5275,5060,900,0.0255,0.0051,0.0201,0.0115,1.79,
150,57991.48003,1758.1972,740.5645,4830,2000,0.0469,0.0075,0.0353,0.0169,1.79,
151,57991.4886,1758.2058,393.6307,6420,900,0.0223,0.0051,0.0265,0.0145,2.87,
152,57991.49316,1758.2103,375.8981,5110,1900,0.0266,0.0073,0.0185,0.0166,1.79,
153,57991.49751,1758.2147,75.7672,4830,2000,0.0681,0.0075,0.05,0.0151,1.43,
154,57991.49839,1758.2155,37.0514,5940,900,0.0268,0.0051,0.0246,0.0127,2.15,
155,57991.49882,1758.216,1040.3803,5530,2400,0.0417,0.0083,0.0515,0.0187,1.79,
156,57991.51086,1758.228,194.5233,7330,2000,0.0555,0.0075,0.0241,0.0107,0.72,
157,57991.51311,1758.2303,528.9577,4830,2000,0.1284,0.0075,0.0964,0.0131,1.08,
158,57991.51923,1758.2364,0.0028,6910,2000,0.1106,0.0075,0.0498,0.0215,2.87,
159,57991.51923,1758.2364,3470.281,6910,2000,0.0988,0.0075,0.0659,0.0152,1.43,
160,57991.5594,1758.2766,295.8331,6980,3900,0.0765,0.0105,0.0297,0.0151,0.72,
161,57991.56282,1758.28,572.6219,6830,2800,0.1022,0.009,0.0585,0.0157,1.08,
162,57991.56945,1758.2866,134.297,5950,2000,0.0448,0.0075,0.0696,0.0214,2.87,
163,57991.571,1758.2882,297.4788,5670,1900,0.0434,0.0074,0.0492,0.0149,1.43,
164,57991.57444,1758.2916,1184.0859,6420,900,0.0183,0.0051,0.0177,0.0136,2.51,
165,57991.58815,1758.3053,204.0394,5580,2000,0.0679,0.0075,0.0478,0.0131,1.08,
166,57991.59051,1758.3077,138.2585,6410,2400,0.0644,0.0083,0.0421,0.0146,1.08,
167,57991.59211,1758.3093,286.5264,5940,2000,0.0862,0.0075,0.0518,0.0131,1.08,
168,57991.59543,1758.3126,28.6749,6250,1500,0.059,0.0065,0.0209,0.0093,0.72,
169,57991.59576,1758.3129,561.9668,6250,1500,0.0329,0.0065,0.0292,0.0131,1.43,
170,57991.60226,1758.3194,,4920,1300,0.0601,0.0061,0.0213,0.0087,0.72,
171,57996.26564,1762.9828,,1400,300,24,7,35,10,2.6,0.4
