No.,Sources,Observed width (ms),Intrinsic width (ms),Flux density (Jy),Fluence (Jy ms),Distance (Gpc),Refs. 
1,FRB121102,4.82,4.78,0.25,0.372,1.61,(1) 
2,FRB180814.J0422+73,22.57,23.43,,22.57,0.39,(2)(3) 
3,FRB171019,4.62,4.08,,101.54,1.89,(4) 
4,FRB180916.J0158+65,5.27,5.16,2.08,1.62,0.58,(5) 
5,FRB181030.J1054+73,1.01,0.10,3.15,4.75,0.24,(5) 
6,FRB181128.J0456+63,5.90,5.80,0.40,3.45,1.14,(5) 
7,FRB181119.J12+65,3.49,3.33,0.43,1.77,1.42,(5) 
8,FRB190116.J1249+27,2.75,2.53,0.35,1.80,1.90,(5) 
9,FRB181017.J1705+68,16.8,16.73,0.40,8.50,6.97,(5) 
10,FRB190209.J0937+77,6.55,6.46,0.50,1.25,1.66,(5) 
11,FRB190222.J2052+69,2.71,2.48,1.65,5.45,1.64,(5) 
12,FRB190208.J1855+46,1.11,0.14,0.50,1.70,2.35,(6) 
13,FRB180908.J1232+74,3.83,3.70,2.90,0.50,0.62,(6) 
14,FRB190604.J1435+53,2.10,1.78,0.75,8.30,2.42,(6) 
15,FRB190212.J18+81,3.10,2.93,0.75,2.75,1.05,(6) 
16,FRB190303.J1353+48,3.20,3.04,0.47,2.67,0.77,(6) 
17,FRB190417.J1939+59,4.50,4.20,0.53,3.10,7.40,(6) 
18,FRB190117.J2207+17,2.74,2.53,1.00,6.36,1.49,(6) 
19,FRB190213.J02+20,7.00,6.90,0.50,1.80,2.91,(6) 
20,FRB190907.J08+46,2.18,1.92,0.30,2.03,1.07,(6)